producto,etiqueta,entrega_ini,entrega_fin,precio,peso
GMAES,Mes M+1 (Oct26-Oct26),2026-10-01,2026-10-31,74.58,0
GMES_M+2,Mes M+2 (Nov26-Nov26),2026-11-01,2026-11-30,74.77,0
GMES_M+3,Mes M+3 (Dec26-Dec26),2026-12-01,2026-12-31,74.20,0
GQES_Q+1,Trimestre Q+1 (Oct26-Dec26),2026-10-01,2026-12-31,75.30,3
GQES_Q+2,Trimestre Q+2 (Jan27-Mar27),2027-01-01,2027-03-31,72.84,3
GQES_Q+3,Trimestre Q+3 (Apr27-Jun27),2027-04-01,2027-06-30,52.49,3
GQES_Q+4,Trimestre Q+4 (Jul27-Sep27),2027-07-01,2027-09-30,48.80,3
GSES_S,Verano (abr-sep) (Apr27-Sep27),2027-04-01,2027-09-30,50.63,0
GSES_W,Invierno (oct-mar) (Oct26-Mar27),2026-10-01,2027-03-31,74.08,0
GYES_Y+1,Año Y+1 (Jan27-Dec27),2027-01-01,2027-12-31,55.50,0
GYES_Y+2,Año Y+2 (Jan28-Dec28),2028-01-01,2028-12-31,35.01,0
